Timestamp,Tender,Event,Description
"2026-05-07T17:10:23.499615Z","Highway_Construction_Tender_2025-26","tender_closed","Tender closed and signed off by officer. Approved bidders: "
"2026-05-07T17:10:17.220411Z","Highway_Construction_Tender_2025-26","bidder_approved","Bidder 'Bharat_Engineering_Solutions' approved by officer"
"2026-05-07T17:09:52.878684Z","Highway_Construction_Tender_2025-26","bidder_disqualified","Bidder 'Apex_Builders' disqualified by officer. Reason: Not a valid one "
"2026-05-07T17:09:04.428700Z","Highway_Construction_Tender_2025-26","criterion_override","Criterion 'pan-card' for bidder 68b6e637-0dfa-4fe7-90b8-d7b39f26b803 manually set to 'passed' by officer. Reason: Approved"
"2026-05-07T17:06:57.042197Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_completed","Criteria identification completed for job b8048163-ad2c-44ae-9129-866851882ea2, tender 298a6e94-4af4-4793-90ca-0a60d3420c0e -- 6 criteria groups extracted"
"2026-05-07T17:06:51.257440Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_started","Criteria identification started for job b8048163-ad2c-44ae-9129-866851882ea2, tender 298a6e94-4af4-4793-90ca-0a60d3420c0e"
"2026-05-07T17:06:51.235256Z","Highway_Construction_Tender_2025-26","tender_criteria_evaluation_requested","Criteria evaluation requested for tender 298a6e94-4af4-4793-90ca-0a60d3420c0e, job b8048163-ad2c-44ae-9129-866851882ea2 created with 2 bidders"
"2026-05-07T17:06:31.601196Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Bharat_Engineering_Solutions' (bid 68b6e637-0dfa-4fe7-90b8-d7b39f26b803) added to tender 298a6e94-4af4-4793-90ca-0a60d3420c0e"
"2026-05-07T17:06:17.801589Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Apex_Builders' (bid 5b691669-46cb-4bfc-abcd-62839ee90c0f) added to tender 298a6e94-4af4-4793-90ca-0a60d3420c0e"
"2026-05-07T17:05:33.968303Z","Highway_Construction_Tender_2025-26","tender_created","Tender 298a6e94-4af4-4793-90ca-0a60d3420c0e 'Highway_Construction_Tender_2025-26' created"
"2026-05-07T17:01:10.045856Z","Highway_Construction_Tender_2025-26","tender_closed","Tender closed and signed off by officer. Approved bidders: "
"2026-05-07T17:01:07.855426Z","Highway_Construction_Tender_2025-26","bidder_approved","Bidder 'Bharat_Engineering_Solutions' approved by officer"
"2026-05-07T17:01:01.631834Z","Highway_Construction_Tender_2025-26","bidder_disqualified","Bidder 'Apex_Builders' disqualified by officer. Reason: Not a valid one"
"2026-05-07T17:00:42.768374Z","Highway_Construction_Tender_2025-26","criterion_override","Criterion 'project-references' for bidder 8b401f0c-eddb-4616-9569-be93893f6f31 manually set to 'passed' by officer. Reason: Approved"
"2026-05-07T17:00:29.405134Z","Highway_Construction_Tender_2025-26","criterion_override","Criterion 'pan-card-validity' for bidder 8b401f0c-eddb-4616-9569-be93893f6f31 manually set to 'passed' by officer. Reason: Approved"
"2026-05-07T16:58:24.771815Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_completed","Criteria identification completed for job 5a11b110-c9ca-4cf2-8fd4-86f14f228660, tender e5320142-6033-4e0c-9a12-9ee4565d8c6c -- 5 criteria groups extracted"
"2026-05-07T16:58:19.703475Z","Highway_Construction_Tender_2025-26","tender_criteria_identification_started","Criteria identification started for job 5a11b110-c9ca-4cf2-8fd4-86f14f228660, tender e5320142-6033-4e0c-9a12-9ee4565d8c6c"
"2026-05-07T16:58:19.680778Z","Highway_Construction_Tender_2025-26","tender_criteria_evaluation_requested","Criteria evaluation requested for tender e5320142-6033-4e0c-9a12-9ee4565d8c6c, job 5a11b110-c9ca-4cf2-8fd4-86f14f228660 created with 2 bidders"
"2026-05-07T16:57:48.202113Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Bharat_Engineering_Solutions' (bid 8b401f0c-eddb-4616-9569-be93893f6f31) added to tender e5320142-6033-4e0c-9a12-9ee4565d8c6c"
"2026-05-07T16:57:35.859312Z","Highway_Construction_Tender_2025-26","bidder_added","Bidder 'Apex_Builders' (bid 4bf75f21-5b7f-4daf-aac5-67de61417b3f) added to tender e5320142-6033-4e0c-9a12-9ee4565d8c6c"
"2026-05-07T16:56:56.170234Z","Highway_Construction_Tender_2025-26","tender_created","Tender e5320142-6033-4e0c-9a12-9ee4565d8c6c 'Highway_Construction_Tender_2025-26' created"
